anquancaozuo 安全操作
neimoshi 内模式
neipaixu 内排序
neirezu 内热阻
neiwucaozuo 内务操作
neixiangsu 内像素
neizaiguzhang 内在故障
nengxingxing 能行性
nengli 能力
nenglibiao 能力表
nenglichengshu 能力成熟
nijianjiwojian 你见即我见
nihe 拟合
nibianqi 逆变器
nibianqian 逆变迁
nidaihuan 逆代换
niladongbianhuan 逆拉东变换
nitongtai 逆同态
niwanquanhunxi 逆完全混洗
niwang 逆网
nixianggongcheng 逆向工程
nimingdenglu 匿名登录
nimingfuwuqi 匿名服务器
nimingneibulei 匿名内部类
nimingxing 匿名性
nimingzhuanzhang 匿名转账
niantichude 年提出的
nianwenti 年问题
nianzai 年在
ningju 凝聚
niujindaxue 牛津大学
nuoerxingshi 诺尔形式
nuoyaxiaoying 诺亚效应
oulahuilu 欧拉回路
oulalujing 欧拉路径
oufaguzhang 偶发故障
oujianyan 偶检验
ouranshigu 偶然事故
ouranweixie 偶然威胁
ouranzhongduan 偶然中断
pashanfa 爬山法
paicuo 排错
paidui 排队
paiduibiao 排队表
paiduiguize 排队规则
paiduijincheng 排队进程
paiduimoxing 排队模型
pailie 排列
paitasuo 排它锁
paixu 排序
paixucelve 排序策略
paixuwangluo 排序网络
paisheng 派生
paishenglei 派生类
pandingluoji 判定逻辑
pandingshiyong 判定使用
paochuyichang 抛出异常
peiteliwang 佩特里网
peizhi 配置
peizhibiaoshi 配置标识
peizhiguanli 配置管理
peizhikongzhi 配置控制
peizhishenhe 配置审核
peizhixiang 配置项
peizhizhuangtai 配置状态
penmohuituji 喷墨绘图机
penmoyinshuaji 喷墨印刷机
penquanmoxing 喷泉模型
pengzhang 膨胀
pengzhuang 碰撞
pengzhuangjiance 碰撞检测
pengzhuangqiangzhi 碰撞强制
pichuli 批处理
pichulicaozuoxitong 批处理操作系统
pichuliwenjian 批处理文件
pichulixitong 批处理系统
piliangkongzhi 批量控制
pizuoye 批作业
pipeilvbo 匹配滤波
pipeishaixuanqi 匹配筛选器
pipeisuanfa 匹配算法
pipeiwucha 匹配误差
pianchakongzhi 偏差控制
piandiao 偏调
pianpang 偏旁
pianyicidao 偏移磁道
pianyidianya 偏移电压
pianyiliang 偏移量
pianzhuan 偏转
pianzhuanxianquan 偏转线圈
pianzhang 篇章
pianzhangfenxi 篇章分析
pianzhanglijie 篇章理解
pianzhangshengcheng 篇章生成
pianzhangyuyanxue 篇章语言学
pianduan 片段
pianduan 片断
pianxuan 片选
piaoyishixiao 漂移失效
pinjie 拼接
pinyinbianma 拼音编码
pinyu 频域
pinzhishuxing 品质属性
pingpangguocheng 乒乓过程
pingpangmoshi 乒乓模式
pingbanhuituji 平板绘图机
pingbansaomiaoyi 平板扫描仪
pingbanxianshiqi 平板显示器
pingfangfeishengyu 平方非剩余
pingfangshengyu 平方剩余
pingxingtouying 平行投影
pinghengshu 平衡树
pinghua 平滑
pingjunguiyue 平均归约
pingmian 平面
pingmianbawei 平面八位
pingmianwenjian 平面文件
pingmianxiangliangchang 平面向量场
pingmianxing 平面性
pingtai 平台
pingyibianhuan 平移变换
pingceguize 评测规则
pinggu 评估
pingjia 评价
pingjiahanshu 评价函数
pingshen 评审
pingzheng 凭证
pingbi 屏蔽
pingbijicunqi 屏蔽寄存器
pingbishuangjiaoxian 屏蔽双绞线
pingbixiangliang 屏蔽向量
pingmu 屏幕
pingmugongxiang 屏幕共享
pingmuzuobiao 屏幕坐标
poyizhe 破译者
putonghua 普通话
putongyuyanxue 普通语言学
pufenxi 谱分析
pubumoxing 瀑布模型
qiwang 期望
qipian 欺骗
qizha 欺诈
qicizuobiaoxi 齐次坐标系
qijianyan 奇检验
qiou 奇偶
qioujianyan 奇偶检验
qioujianyanwei 奇偶检验位
qiyixi 奇异系
qiyi 歧义
qiyixiaojie 歧义消解
qiye 企业
qiyeduikehu 企业对客户
qiyeduiqiye 企业对企业
qiyeduizhengfu 企业对政府
qiyemoxing 企业模型
qiyewang 企业网
qidong 启动
qifashichengxu 启发式程序
qifashifangfa 启发式方法
qifashiguize 启发式规则
qifashihanshu 启发式函数
qifashijishu 启发式技术
qifashisousuo 启发式搜索
qifashisuanfa 启发式算法
qifashituili 启发式推理
qifashixinxi 启发式信息
qifashizhishi 启发式知识
qiyong 启用
qishimulu 起始目录
qishixinhao 起始信号
qizhishichuanshu 起止式传输
qijian 器件
qianyikaixiao 迁移开销
qianzizhiliang 铅字质量
qianmingmoshi 签名模式
qianmingsuanfa 签名算法
qianmingwenjian 签名文件
qianmingyanzheng 签名验证
qianduanchuliqi 前端处理器
qianji 前集
qianjingse 前景色
qiankuikongzhi 前馈控制
qianquzhan 前驱站
qianshufanshi 前束范式
qiantai 前台
qiantaidiaoduchengxu 前台调度程序
qiantaifenqu 前台分区
qiantaifenye 前台分页
qiantaijiankong 前台监控
qiantaijiankongchengxu 前台监控程序
qiantaiqu 前台区
qiantairenwu 前台任务
qiantaizuoye 前台作业
qianti 前提
qiantongbuma 前同步码
qianxu 前序
qianyan 前沿
qianzhui 前缀
qianzhuixingzhi 前缀性质
qianfushijian 潜伏时间
qiankaobei 浅拷贝
qiankelong 浅克隆
qianrushi 嵌入式
qianrushiruanjian 嵌入式软件
qianrushiyuyan 嵌入式语言
qianrucifu 嵌入伺服
qiantao 嵌套
qiantaoshiwu 嵌套事务
qiantaoxunhuan 嵌套循环
qiantaoxunhuanfa 嵌套循环法
qiantaozhongduan 嵌套中断
qiangduxiaoruo 强度削弱
qiangxingxianshi 强行显示
qiangleixing 强类型
qiangliantongfenzhi 强连通分支
qiangliantongtu 强连通图
qiangliantongwenti 强连通问题
qiangyizhixing 强一致性
qiangzhibaohu 强制保护
qiangzhiduiliu 强制对流
qiangzhileixingzhuanhuan 强制类型转换
qiangxian 抢先
qiangxiandiaodu 抢先调度
qiaojieguzhang 桥接故障
qiaojiejiedian 桥接结点
qiaoluyouqi 桥路由器
qiequchengxu 窃取程序
qieting 窃听
qingchu 清除
qingchuqingqiu 清除请求
qinghuadaxue 清华大学
qinghuadaxuechubanshe 清华大学出版社
qinghuadaxueruanjianxueyuan 清华大学软件学院
qingjiepan 清洁盘
qingjieruanpan 清洁软盘
qingxi 清晰
qingxidu 清晰度
qingxixing 清晰性
qingganfuhao 情感符号
qingganjianmo 情感建模
qingjingjiyi 情景记忆
qingjingyansuan 情景演算
qingjingzhuti 情景主体
qingjingzidongji 情景自动机
qingkuang 情况
qingkuangyuju 情况语句
qingtaigongli 情态公理
qingtaiji 情态集
qingqiu 请求
qingqiucanshubiao 请求参数表
qingqiuchuli 请求处理
qingqiufenye 请求分页
qingqiupinglun 请求评论
qiongjuceshi 穷举测试
qiongjugongji 穷举攻击
qiongjusousuo 穷举搜索
qiuzhenliefengzhuang 球阵列封装
qufenxulie 区分序列
qujian 区间
qujianchaxun 区间查询
quweijilu 区位记录
quweima 区位码
quyu 区域
quyubaohu 区域保护
quyubiaoding 区域标定
quyufenge 区域分割
quyuhebing 区域合并
quyujulei 区域聚类
quyumiaoshu 区域描述
quyushengchang 区域生长
quyutianchong 区域填充
qudonganquan 驱动安全
qudongchengxu 驱动程序
qudongdianliu 驱动电流
qudongfa 驱动法
qudongmaichong 驱动脉冲
qudongmen 驱动门
qudongmoni 驱动模拟
qudongqi 驱动器
qumian 曲面
qumianbijin 曲面逼近
qumianchazhi 曲面插值
qumianfenge 曲面分割
qumianguangshun 曲面光顺
qumianmoxing 曲面模型
qumiannihe 曲面拟合
qumianpipei 曲面匹配
qumianpinjie 曲面拼接
qumianqiujiao 曲面求交
qumianzaoxing 曲面造型
qumianzhonggou 曲面重构
quxian 曲线
quxianguangshun 曲线光顺
quxiannihe 曲线拟合
qujingbianhuan 取景变换
qulunkuo 取轮廓
quxiao 取消
quzhi 取指
quzhiling 取指令
quhanqiang 去焊枪
qumohu 去模糊
quanchengliangci 全称量词
quanchengyuming 全称域名
quandongganshipin 全动感视频
quanganrao 全干扰
quanhunxi 全混洗
quanjiaqi 全加器
quanjianqi 全减器
quanjubianliang 全局变量
quanjuchaxun 全局查询
quanjuchaxunyouhua 全局查询优化
quanjucunchuqi 全局存储器
quanjuguzhang 全局故障
quanjushiwu 全局事务
quanjusisuo 全局死锁
quanjusousuo 全局搜索
quanjuyingyong 全局应用
quanjuyouhua 全局优化
quanjuzhishi 全局知识
quanlianjiewang 全连接网
quanming 全名
quanpingmu 全屏幕
quanqiudizhi 全球地址
quanshuanggongchuanshu 全双工传输
quanwenjiansuo 全文检索
quanwensuoyin 全文索引
quanxi 全息
quanxicunchuqi 全息存储器
quanxitu 全息图
quanxiandingyuming 全限定域名
quanbiao 权标
quanbiaochiyouzhan 权标持有站
quanhanshu 权函数
quanheng 权衡
quanxian 权限
quanyizhuangtai 权宜状态
quanzheng 权证
queshilv 缺失率
queshisunshi 缺失损失
quexian 缺陷
quexianguanli 缺陷管理
quexiantiaoyue 缺陷跳越
queye 缺页
queyepinlv 缺页频率
queyezhongduan 缺页中断
quebao 确保
quebaocaozuo 确保操作
quebaodengji 确保等级
quedingxingdiaodu 确定性调度
quedingxingsuanfa 确定性算法
queren 确认
quexindu 确信度
quezheng 确证
qunji 群集
qunjifenxi 群集分析
quntizhineng 群体智能
raojie 绕接
rebeifen 热备份
rebeifenjiqun 热备份机群
rebiao 热表
rechaba 热插拔
rechuandao 热传导
redaomokuai 热导模块
reduiliu 热对流
refushe 热辐射
reganqi 热感器
reguan 热管
rehejin 热合金
rejiaohuan 热交换
rekongzhi 热控制
reliu 热流
reminyinshuaji 热敏印刷机
reqidong 热启动
retexing 热特性
retidu 热梯度
retongliang 热通量
rexiaozheng 热校正
reyahan 热压焊
reyuan 热源
rezhandian 热站点
rezu 热阻
rengongceshi 人工测试
rengongganyu 人工干预
rengongjiaohuanji 人工交换机
rengongjinhua 人工进化
rengongkongzhi 人工控制
rengongluru 人工录入
rengongmoni 人工模拟
rengongrenzhi 人工认知
rengongshenjingyuan 人工神经元
rengongshengming 人工生命
rengongshijie 人工世界
rengongwenli 人工纹理
rengongxianshi 人工现实
rengongyuyan 人工语言
rengongyueshu 人工约束
rengongzhineng 人工智能
renjiduihua 人机对话
renjigongcheng 人机工程
renjihuanjing 人机环境
renjijiaohu 人机交互
renjijiekou 人机接口
renjijiemian 人机界面
renjimoni 人机模拟
renjiquanheng 人机权衡
renjixitong 人机系统
renjixiaoxi 人际消息
renwei 人为
renweiguzhang 人为故障
renzhuti 人主体
renzhujiyi 人助机译
renkemoxing 认可模型
renshixue 认识学
renzheng 认证
renzhengjigou 认证机构
renzhenglian 认证链
renzhi 认知
renzhifangzhen 认知仿真
renzhiguocheng 认知过程
renzhiji 认知机
renzhikexue 认知科学
renzhimoxing 认知模型
renzhixitong 认知系统
renzhixinlixue 认知心理学
renzhiyingshe 认知映射
renzhizhuti 认知主体
renwu 任务
renwuchi 任务池
renwuchuli 任务处理
renwudaimazi 任务代码字
renwudiaodu 任务调度
renwuduilie 任务队列
renwuduihuan 任务对换
renwufanchou 任务范畴
renwufendan 任务分担
renwufenpei 任务分配
renwuguanli 任务管理
renwuji 任务集
renwujiku 任务集库
renwujiaohuan 任务交换
renwukongzhikuai 任务控制块
renwumiaoshufu 任务描述符
renwumoxing 任务模型
renwuqidong 任务启动
renwutu 任务图
renwuxiediao 任务协调
renwuzhixingqu 任务执行区
renwuzhongzhi 任务终止
riqitishifu 日期提示符
rizhi 日志
rongcuo 容错
rongcuojisuan 容错计算
rongcuojisuanji 容错计算机
rongcuokongzhi 容错控制
rongliang 容量
ronglianghanshu 容量函数
rongqilei 容器类
rongduansi 熔断丝
rongsi 熔丝
rongsilianjie 熔丝连接
ronghe 融合
rongyu 冗余
rongyucunchuqi 冗余存储器
rongyujianyan 冗余检验
ruchong 蠕虫
rudian 入点
rudu 入度
ruhujiao 入呼叫
ruqinjiance 入侵检测
ruqinjiancexitong 入侵检测系统
ruqinzhe 入侵者
rushedianya 入射电压
rushijian 入事件
ruanchacuo 软差错
ruancipan 软磁盘
ruanguzhang 软故障
ruanjisuan 软计算
ruanjian 软件
ruanjiananquan 软件安全
ruanjiananquanxing 软件安全性
ruanjianbanquan 软件版权
ruanjianbao 软件包
ruanjianbaohu 软件保护
ruanjiancaigouyuan 软件采购员
ruanjiancaozuoyuan 软件操作员
ruanjianceshi 软件测试
ruanjianchanpin 软件产品
ruanjiancuowu 软件错误
ruanjiandanyuan 软件单元
ruanjiandaoqie 软件盗窃
ruanjianduliangxue 软件度量学
ruanjianfangfaxue 软件方法学
ruanjianfengxian 软件风险
ruanjianfuyong 软件复用
ruanjiangongcheng 软件工程
ruanjiangongju 软件工具
ruanjiangoujian 软件构件
ruanjianguzhang 软件故障
ruanjianguocheng 软件过程
ruanjianhuoqu 软件获取
ruanjianjiagou 软件架构
ruanjianjiagoushi 软件架构师
ruanjianjiegou 软件结构
ruanjiankaifa 软件开发
ruanjiankaifaku 软件开发库
ruanjiankaifamoxing 软件开发模型
ruanjiankaifashouce 软件开发手册
ruanjiankaifazhouqi 软件开发周期
ruanjiankekaoxing 软件可靠性
ruanjianku 软件库
ruanjianliangdu 软件量度
ruanjianlunkuo 软件轮廓
ruanjianpeizhi 软件配置
ruanjianpingtai 软件平台
ruanjianpingce 软件评测
ruanjianquexian 软件缺陷
ruanjianshengchanlv 软件生产率
ruanjianshixiao 软件失效
ruanjianshigu 软件事故
ruanjianshujuku 软件数据库
ruanjiantixijiegou 软件体系结构
ruanjianweihu 软件维护
ruanjianweihuyuan 软件维护员
ruanjianwendang 软件文档
ruanjianxitong 软件系统
ruanjianxianjing 软件陷阱
ruanjianxingneng 软件性能
ruanjianyanshou 软件验收
ruanjianzaigongcheng 软件再工程
ruanjianzhiliang 软件质量
ruanjianzhongduan 软件中断
ruanjianzhuti 软件主体
ruanjianzhuceyuan 软件注册员
ruanjianziyuan 软件资源
ruanjianzongxian 软件总线
ruanpan 软盘
ruanpandoudong 软盘抖动
ruanpanqudongqi 软盘驱动器
ruanpantao 软盘套
ruanpanzhitao 软盘纸套
ruanqu 软驱
ruanshanqugeshi 软扇区格式
ruantingji 软停机
ruanzhongduan 软中断
ruanzhongduanjizhi 软中断机制
ruanzhongduanxinhao 软中断信号
ruihua 锐化
ruofangfa 弱方法
ruoliantongtu 弱连通图
ruomiyao 弱密钥
ruowei 弱位
sabo 撒播
sandiantoushi 三点透视
sanduanlun 三段论
sanjiwangluo 三级网络
sanjiaoceju 三角测距
sanjiaomianpian 三角面片
sanjiaopoufen 三角剖分
sanliantongfenzhi 三连通分支
sanmorongyu 三模冗余
santaimen 三态门
sanweichuangkou 三维窗口
sanweisaomiaoyi 三维扫描仪
sanweishubiao 三维鼠标
sanweiyanjing 三维眼镜
sanweizhongjian 三维重建
sanweibianma 三位编码
sanyuanzu 三元组
sanzushiwangluo 三足式网络
sanzuwangluo 三足网络
sanjiaoceju 散焦测距
sanliehanshu 散列函数
sanliesuoyin 散列索引
sanluanshujudian 散乱数据点
sanrejishu 散热技术
sanrepian 散热片
sanreqi 散热器
saochengqumian 扫成曲面
saomiao 扫描
saomiaoduobianxing 扫描多边形
saomiaomoshi 扫描模式
saomiaopingmian 扫描平面
saomiaoqumian 扫描曲面
saomiaosheji 扫描设计
saomiaoshuchu 扫描输出
saomiaoshuru 扫描输入
saomiaoti 扫描体
saomiaoxiansuanfa 扫描线算法
saomiaoxuanzeqi 扫描选择器
saomiaoyi 扫描仪
saomiaozhuanhuan 扫描转换
se 色
sebaohedu 色饱和度
sechundu 色纯度
sedai 色带
sediao 色调
sedu 色度
sedutu 色度图
seduxue 色度学
seduzuobiao 色度坐标
sefen 色粉
sefenhe 色粉盒
seji 色集
sejian 色键
seju 色矩
sekongjian 色空间
semoxing 色模型
sepipei 色匹配
sepipeihanshu 色匹配函数
sepingheng 色平衡
seshendu 色深度
seshiyingxing 色适应性
sewen 色温
seyingshe 色映射
sezhangdu 色彰度
shaixuanzhuti 筛选主体
shandongdaxue 山东大学
shandongdaxuechubanshe 山东大学出版社
shandongdaxueruanjianxueyuan 山东大学软件学院
shanchu 删除
shanchuyichang 删除异常
shanshuo 闪烁
shansucunchuqi 闪速存储器
shanchu 扇出
shanchumokuai 扇出模块
shanchuxianzhi 扇出限制
shanduan 扇段
shanqu 扇区
shanquduizhun 扇区对准
shanqucifu 扇区伺服
shanru 扇入
shangbiao 上标
shangbiaoyuejie 上标越界
shangbozhuangtai 上播状态
shangdeduoxieyi 上的多协议
shanghaijiaotongdaxue 上海交通大学
shanghaijiaotongdaxuechubanshe 上海交通大学出版社
shanghaijiaotongdaxueruanjianxueyuan 上海交通大学软件学院
shangxinglianlu 上行链路
shangxingshujuliu 上行数据流
shangshengshijian 上升时间
shangshengyan 上升沿
shangtui 上推
shangtuiduilie 上推队列
shangtuipaixu 上推排序
shangxiaweiguanxi 上下位关系
shangxiawen 上下文
shangxiawenfenxi 上下文分析
shangzai 上载
shebeiguanli 设备管理
shebeimiaoshu 设备描述
shebeiming 设备名
shebeiqudongchengxu 设备驱动程序
shebeizhipai 设备指派
shebeizuobiao 设备坐标
shebeizuobiaoxi 设备坐标系
shedingdiankongzhi 设定点控制
shejibianjiqi 设计编辑器
shejichacuo 设计差错
shejiduoyangxing 设计多样性
shejifangfaxue 设计方法学
shejifenxi 设计分析
shejifenxiqi 设计分析器
shejiguihua 设计规划
shejiguiyue 设计规约
shejijieduan 设计阶段
shejiku 设计库
shejipingshen 设计评审
shejishencha 设计审查
shejixuqiu 设计需求
shejiyanzheng 设计验证
shejiyuyan 设计语言
shejiyueshu 设计约束
shejizidonghua 设计自动化
shejizoucha 设计走查
sheshi 设施
sheshifenpei 设施分配
sheshiguanli 设施管理
sheshiqingqiu 设施请求
sheshizhuti 设施主体
shexianfangshi 设陷方式
shezhi 设置
sheruwucha 舍入误差
shemifanchou 涉密范畴
shexiangguan 摄像管
shexiangji 摄像机
shexiangjibiaoding 摄像机标定
shenqinglingpaizhen 申请令牌帧
shenqingquanbiaozhen 申请权标帧
shenqingzhan 申请栈
shenshuxingyuyan 申述性语言
shenfen 身份
shenfenyanzheng 身份验证
shencengge 深层格
shenduanshi 深度暗示
shenduhuancun 深度缓存
shendujisuan 深度计算
shendutu 深度图
shenduyouxian 深度优先
shenkaobei 深拷贝
shenkelong 深克隆
shengaojiyuyan 甚高级语言
shencha 审查
shenji 审计
shenjigenzong 审计跟踪
shenjiweiji 审计尾迹
shenruceshi 渗入测试
shengchanxianfangfa 生产线方法
shengchengshi 生成式
shengchengshu 生成树
shengchengshuwenti 生成树问题
shengchengyuyanxue 生成语言学
shengcunzhouqi 生存周期
shengrigongji 生日攻击
shengwuceding 生物测定
shengwujisuanji 生物计算机
shengka 声卡
shengpincunchuqi 声频存储器
shengtuhuiyi 声图会议
shengxuemoxing 声学模型
shengyinhecheng 声音合成
shengyinshibie 声音识别
shipei 失配
shixiao 失效
shixiaobi 失效比
shixiaoceshi 失效测试
shixiaofenbu 失效分布
shixiaohuifu 失效恢复
shixiaojiance 失效检测
shixiaojiedian 失效节点
shixiaoleibie 失效类别
shixiaolv 失效率
shixiaoshu 失效数
shixiaoshuju 失效数据
shixiaoyuce 失效预测
shixu 失序
shizhen 失真
shijinzhi 十进制
shijinzhishuzi 十进制数字
shiliujinzhi 十六进制
shibiancanshu 时变参数
shicao 时槽
shicaojiange 时槽间隔
shifenfuyong 时分复用
shijianbianqian 时间变迁
shijianchangshu 时间常数
shijianchuo 时间戳
shijianfenpian 时间分片
shijianfuzadu 时间复杂度
shijianfuzaxing 时间复杂性
shijianjubuxing 时间局部性
shijianliangzi 时间量子
shijianpian 时间片
shijianpuxi 时间谱系
shijianyanchi 时间延迟
shijianyueshu 时间约束
shijianzhongdie 时间重叠
shikongquanheng 时空权衡
shikongtu 时空图
shitaishujuku 时态数据库
shixi 时隙
shixijiange 时隙间隔
shixuzonghe 时序综合
shiyan 时延
shiyanfenpei 时延分配
shiyu 时域
shizhong 时钟
shizhongbujin 时钟步进
shizhongjicunqi 时钟寄存器
shizhongmaichong 时钟脉冲
shizhongpiancha 时钟偏差
shizhongqudongqi 时钟驱动器
shizhongzhouqi 时钟周期
shibiexing 识别型
shican 实参
shicunzhuangtai 实存状态
shidizhi 实地址
shifenqu 实分区
shijiyeshu 实际页数
shijianxuexi 实践学习
shilihua 实例化
shiliming 实例名
shilixuexi 实例学习
shiliyu 实例域
shiming 实名
shishibianqian 实施变迁
shishiguize 实施规则
shishixiangliang 实施向量
shishi 实时
shishicaozuoxitong 实时操作系统
shishichuli 实时处理
shishiduomeiti 实时多媒体
shishijisuanji 实时计算机
shishijiankong 实时监控
shishijiankongchengxu 实时监控程序
shishikongzhi 实时控制
shishipichuli 实时批处理
shishishipin 实时视频
shishishuchu 实时输出
shishishuru 实时输入
shishishujuku 实时数据库
shishixitong 实时系统
shishiyueshu 实时约束
shishizhuti 实时主体
shiti 实体
shitijianbie 实体鉴别
shitilianxitu 实体联系图
shitimoxing 实体模型
shitiwanzhengxing 实体完整性
shitizaoxing 实体造型
shixianjieduan 实现阶段
shixianxuqiu 实现需求
shixian 实线
shixunzhi 实寻址
shiyandianluban 实验电路板
shiyanxuexi 实验学习
shiyongchengxu 实用程序
shiyongchengxubao 实用程序包
shiyonggongneng 实用功能
shiyongruanjian 实用软件
shiqushebei 拾取设备
shilieshi 矢列式
shineng 使能
shifazhe 始发者
shijiezhichuang 世界之窗
shijiezhizui 世界之最
shijiezhishi 世界知识
shijiezuobiao 世界坐标
shijiezuobiaoxi 世界坐标系
shiboqi 示波器
shijiaoxuexi 示教学习
shidayin 式打印
shigubianqian 事故变迁
shijianbaogao 事件报告
shijianbiao 事件表
shijianchuli 事件处理
shijiandulixing 事件独立性
shijianduilie 事件队列
shijianfangshi 事件方式
shijianguolvqi 事件过滤器
shijianjianceqi 事件检测器
shijiankongzhikuai 事件控制块
shijianmiaoshu 事件描述
shijianqudong 事件驱动
shijianxitong 事件系统
shijianyilaixing 事件依赖性
shijianyuan 事件源
shishibiaozhun 事实标准
shishiku 事实库
shiwuchuli 事务处理
shiwudiaodu 事务调度
shiwufenxi 事务分析
shiwuguzhang 事务故障
shiwuqudong 事务驱动
shiwushijian 事务时间
shicankaodian 视参考点
shichatidu 视差梯度
shichuangcaozuoxitong 视窗操作系统
shidian 视点
shijue 视觉
shijuemoxing 视觉模型
shikou 视口
shikuang 视框
shipincunchuqi 视频存储器
shipindianbo 视频点播
shipinhuanchongqu 视频缓冲区
shipinhuiyi 视频会议
shipinka 视频卡
shipinmoshi 视频模式
shipinxiaoxi 视频消息
shipingmian 视平面
shiqu 视区
shiti 视体
shitingxinxi 视听信息
shitu 视图
shixian 视线
shixiang 视向
shixiang 视像
shizhui 视锥
shicousousuo 试凑搜索
shitanfa 试探法
shidangzidonghua 适当自动化
shipeiceng 适配层
shipeiqi 适配器
shiyingxingweihu 适应性维护
shiyingxuexi 适应学习
shiyingzibo 适应子波
shifang 释放
shifangbaohu 释放保护
shoufa 收发
shoufaqi 收发器
shouchijisuanji 手持计算机
shouchiyoubiaoqi 手持游标器
shoudongshuru 手动输入
shoudongshurujian 手动输入键
shoushishibie 手势识别
shoushixiaoxi 手势消息
shouxiehanzi 手写汉字
shouxieti 手写体
shouyanxitong 手眼系统
shouhengxing 守恒性
shouhuchengxu 守护程序
shouwei 守卫
shoubu 首部
shouxizhixingguan 首席执行官
shoubaohuziyuan 受保护资源
shoukonganquan 受控安全
shoukongbiaoshitu 受控标识图
shoukongcunqu 受控存取
shoukongduixiang 受控对象
shoukongfangwen 受控访问
shoukongfangwenqu 受控访问区
shoukongkongjian 受控空间
shoukongshijian 受控事件
shoukongxitong 受控系统
shoukongzhuangzhi 受控装置
shouxianfangwen 受限访问
shouxianjinqu 受限禁区
shouxianyuyan 受限语言
shouquan 授权
shouquanbiao 授权表
shumianyu 书面语
shuqian 书签
shuxiefangxiang 书写方向
shuchu 输出
shuchudai 输出带
shuchuduanyan 输出断言
shuchujincheng 输出进程
shuchuliu 输出流
shuchumaichong 输出脉冲
shuchumoshi 输出模式
shuchushebei 输出设备
shuchutexing 输出特性
shuchutijiao 输出提交
shuchuyilai 输出依赖
shuchuyouxianji 输出优先级
shuchuzimubiao 输出字母表
shuchuzukang 输出阻抗
shuru 输入
shurucuowulv 输入错误率
shurudai 输入带
shuruduanyan 输入断言
shurufuhao 输入符号
shuruguimo 输入规模
shurujincheng 输入进程
shuruliu 输入流
shurumaichong 输入脉冲
shurumoshi 输入模式
shurushebei 输入设备
shurushuchu 输入输出
shurushuchushebei 输入输出设备
shurusulv 输入速率
shurutexing 输入特性
shuruyilai 输入依赖
shuruyouxianji 输入优先级
shuruzhengquelv 输入正确率
shuruzimubiao 输入字母表
shuruzukang 输入阻抗
shuzhikong 输纸孔
shuzhiqi 输纸器
shuxing 属性
shuxingbibao 属性闭包
shuxingyufa 属性语法
shumingyonghu 署名用户
shubiao 鼠标
shuyu 术语
shuyuchouqu 术语抽取
shuyukongjian 术语空间
shulianjiejiegou 树连接结构
shulianjieyufa 树连接语法
shuwang 树网
shuyasuojishu 树压缩技术
shuyufa 树语法
shuzhuangwang 树状网
shupai 竖排
shuxiang 竖向
shuju 数据
shujuanquan 数据安全
shujubaohu 数据保护
shujubao 数据报
shujubingxingxing 数据并行性
shujucaiji 数据采集
shujucaijue 数据采掘
shujucangku 数据仓库
shujucaozong 数据操纵
shujuceshi 数据测试
shujuchacuo 数据差错
shujuchongtu 数据冲突
shujuchouxiang 数据抽象
shujuchuli 数据处理
shujuchuanshu 数据传输
shujucunqu 数据存取
shujudulixing 数据独立性
shujuduoyangxing 数据多样性
shujufenbu 数据分布
shujufenxi 数据分析
shujufengzhuang 数据封装
shujufuzhuang 数据服装
shujufulan 数据腐烂
shujugeshi 数据格式
shujugeshizhuanhuan 数据格式转换
shujugongxiang 数据共享
shujuguanli 数据管理
shujuhuafen 数据划分
shujuhuanjing 数据环境
shujuhuifu 数据恢复
shujuhui 数据汇
shujuhuoqu 数据获取
shujujishi 数据集市
shujujizhongqi 数据集中器
shujujiami 数据加密
shujujiaohuanji 数据交换机
shujujiegou 数据结构
shujujubuxing 数据局部性
shujukongjian 数据空间
shujuku 数据库
shujukuanquan 数据库安全
shujukubaomi 数据库保密
shujukuguanli 数据库管理
shujukuguanlixitong 数据库管理系统
shujukuhuanjing 数据库环境
shujukuji 数据库机
shujukujicheng 数据库集成
shujukulianjie 数据库连接
shujukumoxing 数据库模型
shujukuxitong 数据库系统
shujukuzhonggou 数据库重构
shujukuzhongzu 数据库重组
shujuleixing 数据类型
shujulianlu 数据链路
shujulianluceng 数据链路层
shujuliu 数据流
shujuliufenxi 数据流分析
shujuliutu 数据流图
shujuliuyuyan 数据流语言
shujuluru 数据录入
shujumeiti 数据媒体
shujumoxing 数据模型
shujumulu 数据目录
shujupianxie 数据偏斜
shujuqizha 数据欺诈
shujuqudong 数据驱动
shujuquanbiao 数据权标
shujuqueren 数据确认
shujurongyu 数据冗余
shujushoutao 数据手套
shujushuxing 数据属性
shujusu 数据宿
shujutongdao 数据通道
shujutonglu 数据通路
shujutongxin 数据通信
shujutongxinzhong 数据通信中
shujuwajue 数据挖掘
shujuwanzhengxing 数据完整性
shujuwang 数据网
shujuxiang 数据项
shujuxinhao 数据信号
shujuyizhixing 数据一致性
shujuyilai 数据依赖
shujuyouxiaoxing 数据有效性
shujuyuan 数据源
shujuzhan 数据站
shujuzhen 数据帧
shujuzhi 数据值
shujuzhongjian 数据重建
shujuzhongzu 数据重组
shujuzidian 数据字典
shujuzongxian 数据总线
shujuzuzhi 数据组织
shukongxitong 数控系统
shuliyuyanxue 数理语言学
shumozhuanhuan 数模转换
shumozhuanhuanqi 数模转换器
shuxuefaxian 数学发现
shuxuegongshi 数学公式
shuxueguina 数学归纳
