name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
user=pinyin.usr
assist=mb/yong.txt 2
qianglijiem 强力解密
qiangliantongfenzh 强连通分支
qiangliantongt 强连通图
qiangliantongwent 强连通问题
qiangmim 强密码
qiangmingchen 强名称
qiangpoyingduigongnen 强迫应对功能
qiangxia 抢先
qiangxiandiaod 抢先调度
qiangxianduorenwuchul 抢先多任务处理
qiangxingxiansh 强行显示
qiangyizhixin 强一致性
qiangzhianzhuan 强制安装
qiangzhibaoh 强制保护
qiangzhiduili 强制对流
qiangzhifangwenkongzh 强制访问控制
qiangzhileixingzhuanhua 强制类型转换
qiangzhilengqu 强制冷却
qiangzhiqilen 强制气冷
qiangzhixieza 强制卸载
qiaoji 桥接
qiaojieguzhan 桥接故障
qiaojiejiedia 桥接结点
qiaojieq 桥接器
qiaoluyouq 桥路由器
qiaomusijicengcijiego 乔姆斯基层次结构
qiaomusijifansh 乔姆斯基范式
qiaomusijipux 乔姆斯基谱系
qiec 切词
qiehuanbiaoqia 切换标签
qiequchengx 窃取程序
qiequxindaoxinx 窃取信道信息
qiesit 切斯特
qietin 窃听
qinr 侵入
qinrufangy 侵入防御
qinrufangyuxiton 侵入防御系统
qinrujianch 侵入检查
qinrujianchaxiton 侵入检查系统
qingbaojiansuoyuya 情报检索语言
qingbaokexu 情报科学
qingch 清除
qingchuqingqi 清除请求
qingganfuha 情感符号
qingganjianm 情感建模
qinghuadaxu 清华大学
qinghuadaxuechubansh 清华大学出版社
qinghuadaxueruanjianxueyua 清华大学软件学院
qingjiepa 清洁盘
qingjieruanpa 清洁软盘
qingjingjiy 情景记忆
qingjingxingdongxiton 情景行动系统
qingjingyansua 情景演算
qingjingzhut 情景主体
qingjingzidongj 情景自动机
qingkuan 情况
qingkuangyuj 情况语句
qingliangjimulufangwenxiey 轻量级目录访问协议
qingqi 请求
qingqiucanshubia 请求参数表
qingqiuchul 请求处理
qingqiufenshichul 请求分时处理
qingqiufeny 请求分页
qingqiupinglu 请求评论
qingqiuwoshouyanzhengxiey 请求握手验证协议
qingsongqichehengchengzhongguanliruanjia 青松汽车衡称重管理软件
qingtaigongl 情态公理
qingtaij 情态集
qingx 清晰
qingxid 清晰度
qingxixin 清晰性
qiongjucesh 穷举测试
qiongjugongj 穷举攻击
qiongjusousu 穷举搜索
qiujiechudenghansh 求解初等函数
qiujielujingxuex 求解路径学习
qiumianhu 球面化
qiuqilunt 丘奇论题
qiuzhenliefengzhuan 球阵列封装
quchefasonglajiyoujia 驱车发送垃圾邮件
quchepoji 驱车破解
quchon 去重
qudaim 取代码
qudonganqua 驱动安全
qudongchengx 驱动程序
qudongdianli 驱动电流
qudongf 驱动法
qudongmaichon 驱动脉冲
qudongme 驱动门
qudongmon 驱动模拟
qudongq 驱动器
qufenxuli 区分序列
quhanqian 去焊枪
qujia 区间
qujianchaxu 区间查询
qujianshitailuoj 区间时态逻辑
qujingbianhua 取景变换
qujueduizh 取绝对值
qulunku 取轮廓
qumia 曲面
qumianbiji 曲面逼近
qumianchazh 曲面插值
qumianchonggo 曲面重构
qumianfeng 曲面分割
qumianguangshu 曲面光顺
qumianmoxin 曲面模型
qumiannih 曲面拟合
qumianpipe 曲面匹配
qumianpinji 曲面拼接
qumianqiujia 曲面求交
qumianzaoxin 曲面造型
qumoh 去模糊
quriq 取日期
qushijia 取时间
qusuijish 取随机数
quweijil 区位记录
quweim 区位码
quxia 曲线 取消
quxianguangshu 曲线光顺
quxiannih 曲线拟合
quxiaodayi 取消打印
quy 区域
quyubaoh 区域保护
quyubianjieluyouq 区域边界路由器
quyubiaodin 区域标定
quyuchuanson 区域传送
quyufeng 区域分割
quyuhebin 区域合并
quyujule 区域聚类
quyukongzhirenw 区域控制任务
quyumiaosh 区域描述
quyushengzhan 区域生长
quyutianchon 区域填充
quzhen 取证
quzh 取指
quzhilin 取指令
quanbia 权标
quanbiaochiyouzha 权标持有站
quanbiaochuand 权标传递
quanbiaochuandixiey 权标传递协议
quanbiaohuanwan 权标环网
quanbiaolunzhuanshijia 权标轮转时间
quanbiaozongxianwan 权标总线网
quanbujiesu 全部解锁
quanbushuaxi 全部刷新
quanchenjinshixunixiansh 全沉浸式虚拟现实
quanchengliangc 全称量词
quanchengyumin 全称域名
quandongganshipi 全动感视频
quanganra 全干扰
quangaosuhuancuncunq 全高速缓存存取
quanhansh 权函数
quanhen 权衡
quanhunx 全混洗
quanjiaq 全加器
quanjianq 全减器
quanjubianlian 全局变量
quanjuchaxu 全局查询
quanjuchaxunyouhu 全局查询优化
quanjucunchuq 全局存储器
quanjugongxiangziyua 全局共享资源
quanjuguzhan 全局故障
quanjuguanl 全局管理
quanjushezh 全局设置
quanjushiw 全局事务
quanjusisu 全局死锁
quanjusousu 全局搜索
quanjuyizhixingcunchuq 全局一致性存储器
quanjuyingyon 全局应用
quanjuyouhu 全局优化
quanjuzhangha 全局帐号
quanjuzhish 全局知识
quanjuz 全局组
quanlianjiewan 全连接网
quanmianfangh 全面防护
quanmianzhiliangguanl 全面质量管理
quanmingongto 全民公投
quanmin 全名
quanpingm 全屏幕
quanqiudizh 全球地址
quanqiudizhiguanl 全球地址管理
quanqiudingweixiton 全球定位系统
quanqiujiandiewan 全球间谍网
quanqiuxinxijichushesh 全球信息基础设施
quanshuanggongchuansh 全双工传输
quanwenjiansu 全文检索
quanwensuoyi 全文索引
quanx 全息
quanxicunchuq 全息存储器
quanxit 全息图
quanxia 权限
quanxiandingyumin 全限定域名
quanxiantishen 权限提升
quanxian 劝降
quanxiangliangaosuhuancu 全相联高速缓存
quanxianglianyingsh 全相联映射
quanyizhuangta 权宜状态
quanzhen 权证
quanzijianchadianl 全自检查电路
queba 确保
quebaocaozu 确保操作
quebaodengj 确保等级
quedingbianqia 确定变迁
quedinghesuijipeiteliwan 确定和随机佩特里网
quedingxingdiaod 确定性调度
quedingxingkongzhixiton 确定性控制系统
quedingxingshangxiawenyouguanyuya 确定型上下文有关语言
quedingxingsuanf 确定性算法
quedingxingtulingj 确定型图灵机
quedingxingxiatuizidongj 确定型下推自动机
quedingxingyouqiongzidongj 确定型有穷自动机
queji 确界
quere 确认
queshenggongxian 缺省共享
queshengluyo 缺省路由
queshengwendan 缺省文档
queshil 缺失率
queshisunsh 缺失损失
quexia 缺陷
quexianguanl 缺陷管理
quexiantiaoyu 缺陷跳越
quexind 确信度
quey 缺页
queyepinl 缺页频率
queyezhongdua 缺页中断
quezhen 确证
qunduanxi 群短信
qunj 群集
qunjifenx 群集分析
quntijuecezhichixiton 群体决策支持系统
quntizhinen 群体智能
ranliaoshenghuayinshuaj 染料升华印刷机
raoji 绕接
rebeife 热备份
rebeifenjiqu 热备份机群
rebia 热表
rechab 热插拔
rechuanda 热传导
redaomokua 热导模块
reduili 热对流
refush 热辐射
reganq 热感器
regua 热管
reheji 热合金
rejiaohua 热交换
rekongzh 热控制
relazhuanyinyinshuaj 热蜡转印印刷机
reli 热流
reminyinshuaj 热敏印刷机
reqidon 热启动
retexin 热特性
retid 热梯度
retonglian 热通量
rexiaozhen 热校正
reyaha 热压焊
reyua 热源
rezhandia 热站点
rezhuanyinyinshuaj 热转印印刷机
rez 热阻
rengongcesh 人工测试
rengonggany 人工干预
rengongjiaohuanj 人工交换机
rengongjinhu 人工进化
rengongkongzh 人工控制
rengonglur 人工录入
rengongmon 人工模拟
rengongrenzh 人工认知
rengongshenjingwanglu 人工神经网络
rengongshenjingyua 人工神经元
rengongshengmin 人工生命
rengongshiji 人工世界
rengongwenl 人工纹理
rengongxiansh 人工现实
rengongxinxixiton 人工信息系统
rengongyuya 人工语言
rengongyuesh 人工约束
rengongzhinen 人工智能
rengongzhinengchengxushej 人工智能程序设计
rengongzhinengyuya 人工智能语言
rengongzhuanmenzhish 人工专门知识
renjiduihu 人机对话
renjigongchen 人机工程
renjihuanjin 人机环境
renjihuanjingxiton 人机环境系统
renjijiaoh 人机交互
renjijieko 人机接口
renjijiemia 人机界面
renjikongzhixiton 人机控制系统
renjimon 人机模拟
renjiquanhen 人机权衡
renjixiton 人机系统
renjixiaox 人际消息
renjixiaoxichul 人际消息处理
renk 认可
renkedeyunyingjigo 认可的运营机构
renkemoxin 认可模型
renshixu 认识学
renwe 人为
renweiguzhan 人为故障
renw 任务
renwuch 任务池
renwuchul 任务处理
renwudaimaz 任务代码字
renwudiaod 任务调度
renwudiaoduchengx 任务调度程序
renwudiaoduyouxianj 任务调度优先级
renwuduihua 任务对换
renwuduili 任务队列
renwufancho 任务范畴
renwufenda 任务分担
renwufenpaichengx 任务分派程序
renwufenpe 任务分配
renwuguanl 任务管理
renwuguanlichengx 任务管理程序
renwuj 任务集
renwujik 任务集库
renwujizhuangrumokua 任务集装入模块
renwujiaohua 任务交换
renwukongzhikua 任务控制块
renwumiaoshuf 任务描述符
renwumoxin 任务模型
renwuqidon 任务启动
renwuqiany 任务迁移
renwushuchuduili 任务输出队列
renwushuruduili 任务输入队列
renwushurushuchubia 任务输入输出表
renwut 任务图
renwuxietia 任务协调
renwuxunicunchuq 任务虚拟存储器
renwuyibuchuko 任务异步出口
renwuzhanmiaoshuf 任务栈描述符
renwuzhixingq 任务执行区
renwuzhongzh 任务终止
renxuanyonghushesh 任选用户设施
renyiduobianxin 任意多边形
renyijiaod 任意角度
renzhen 认证
renzhengfuw 认证服务
renzhenggongzu 认证工作
renzhengguochen 认证过程
renzhengjigo 认证机构
renzhenglia 认证链
renzhengq 认证期
renzhengshit 认证实体
renzh 认知
renzhifangzhe 认知仿真
renzhiguochen 认知过程
renzhij 认知机
renzhikexu 认知科学
renzhimoxin 认知模型
renzhixiton 认知系统
renzhixinlixu 认知心理学
renzhiyingsh 认知映射
renzhiyingxiangxiton 认知映像系统
renzhizhut 认知主体
renzhujiy 人助机译
renzhut 人主体
riqitishif 日期提示符
rizh 日志
rongchangxinx 冗长信息
rongcu 容错
rongcuojisua 容错计算
rongcuojisuanj 容错计算机
rongcuokongzh 容错控制
rongcuoshej 容错设计
rongduans 熔断丝
rongh 融合
ronglian 容量
ronglianghansh 容量函数
rongqile 容器类
rongs 熔丝
rongsilianji 熔丝连接
rongy 冗余
rongyucunchuq 冗余存储器
rongyujianya 冗余检验
rongzhadaim 熔渣代码
rouxingzhizaoxiton 柔性制造系统
ruchon 蠕虫
rudia 入点
rud 入度
ruhujia 入呼叫
ruqinceshih 入侵测试和
ruqinjianc 入侵检测
ruqinjiancexiton 入侵检测系统
ruqinzait 入侵载体
ruqinzh 入侵者
rushediany 入射电压
rushijia 入事件
ruyingsuixingxueyingy 如影随形学英语
ruanchacu 软差错
ruancipa 软磁盘
ruanguzhan 软故障
ruanjisua 软计算
ruanjia 软件
ruanjiananqua 软件安全
ruanjiananquanxin 软件安全性
ruanjianbanqua 软件版权
ruanjianba 软件包
ruanjianbaoh 软件保护
ruanjiancaigouyua 软件采购员
ruanjiancaozuoyua 软件操作员
ruanjiancesh 软件测试
ruanjianchanpi 软件产品
ruanjianchanpinweih 软件产品维护
ruanjianchucangk 软件储藏库
ruanjiancuow 软件错误
ruanjiandanyua 软件单元
ruanjiandaoqi 软件盗窃
ruanjianduliangxu 软件度量学
ruanjianfangfaxu 软件方法学
ruanjianfengxia 软件风险
ruanjianfuyon 软件复用
ruanjiangenggaibaoga 软件更改报告
ruanjiangongchen 软件工程
ruanjiangongchengfangfaxu 软件工程方法学
ruanjiangongchenghuanjin 软件工程环境
ruanjiangongchengjingjixu 软件工程经济学
ruanjiangongchengsh 软件工程师
ruanjiangongj 软件工具
ruanjiango 软件狗
ruanjiangoujia 软件构件
ruanjianguzhan 软件故障
ruanjianguochen 软件过程
ruanjianhuoq 软件获取
ruanjianjiago 软件架构
ruanjianjiagoush 软件架构师
ruanjianjiankongchengx 软件监控程序
ruanjianjiego 软件结构
ruanjianjingyanshuj 软件经验数据
ruanjiankaif 软件开发
ruanjiankaifafangf 软件开发方法
ruanjiankaifaguochen 软件开发过程
ruanjiankaifahuanjin 软件开发环境
ruanjiankaifajihu 软件开发计划
ruanjiankaifak 软件开发库
ruanjiankaifamoxin 软件开发模型
ruanjiankaifashouc 软件开发手册
ruanjiankaifazhouq 软件开发周期
ruanjiankekaoxin 软件可靠性
ruanjiankekaoxinggongchen 软件可靠性工程
ruanjiankeweihuxin 软件可维护性
ruanjiankeyizhixin 软件可移植性
ruanjiank 软件库
ruanjiankuguanliyua 软件库管理员
ruanjianliangd 软件量度
ruanjianlunku 软件轮廓
ruanjianmonif 软件模拟法
ruanjianpeizh 软件配置
ruanjianpeizhiguanl 软件配置管理
ruanjianpingc 软件评测
ruanjianpingta 软件平台
ruanjianqianxingfenx 软件潜行分析
ruanjianq 软件区
ruanjianquexia 软件缺陷
ruanjianrongcuocelu 软件容错策略
ruanjianrongyujianya 软件冗余检验
ruanjianshej 软件设计
ruanjianshengchanl 软件生产率
ruanjianshengcunzhouq 软件生存周期
ruanjianshig 软件事故
ruanjianshixia 软件失效
ruanjianshujuk 软件数据库
ruanjiantixijiego 软件体系结构
ruanjiantixijiegoufengg 软件体系结构风格
ruanjianweih 软件维护
ruanjianweihuhuanjin 软件维护环境
ruanjianweihuyua 软件维护员
ruanjianwendan 软件文档
ruanjianxiton 软件系统
ruanjianxianjin 软件陷阱
ruanjianxingnen 软件性能
ruanjianyansho 软件验收
ruanjianyanzhengchengx 软件验证程序
ruanjianyiweihuxin 软件易维护性
ruanjianyiyizhixin 软件易移植性
ruanjianzaigongchen 软件再工程
ruanjianzhilian 软件质量
ruanjianzhiliangbaozhen 软件质量保证
ruanjianzhiliangpingpanzhunz 软件质量评判准则
ruanjianzhongdua 软件中断
ruanjianzhuceyua 软件注册员
ruanjianzhut 软件主体
ruanjianzichanguanlichengx 软件资产管理程序
ruanjianzidonghuafangf 软件自动化方法
ruanjianziyua 软件资源
ruanjianzongxia 软件总线
ruanka 软考
ruanlianji 软链接
ruanpa 软盘
ruanpanchucundangandejibendanwe 软盘储存档案的基本单位
ruanpandoudon 软盘抖动
ruanpanqudongq 软盘驱动器
ruanpanta 软盘套
ruanpanzhita 软盘纸套
ruanq 软驱
ruanshanqugesh 软扇区格式
ruantingj 软停机
ruanyingjianxietongshej 软硬件协同设计
ruanzhongdua 软中断
ruanzhongduanchulifangsh 软中断处理方式
ruanzhongduanjizh 软中断机制
ruanzhongduanxinha 软中断信号
ruihu 锐化
ruixingkakaanquanzhusho 瑞星卡卡安全助手
ruixingshaduruanjia 瑞星杀毒软件
ruofangf 弱方法
ruokoulin 弱口令
ruoliantongt 弱连通图
ruomiya 弱密钥
ruowe 弱位
ruoyizhixingmoxin 弱一致性模型
sab 撒播
said 赛迪
sanbia 散表
sancengjiaohua 三层交换
sancengjiaohuanj 三层交换机
sanchongshujujiamibiaozhu 三重数据加密标准
sandiantoush 三点透视
sanduanlu 三段论
sanjiwanglu 三级网络
sanjiaocej 散焦测距 三角测距
sanjiaomianpia 三角面片
sanjiaopoufe 三角剖分
sanliantongfenzh 三连通分支
sanli 散列
sanlief 散列法
sanliehansh 散列函数
sanliesuoyi 散列索引
sanluanshujudia 散乱数据点
sanmorongy 三模冗余
sanmuyunsuanf 三目运算符
sanrejish 散热技术
sanrepia 散热片
sanreq 散热器
santaime 三态门
sanweibianm 三位编码
sanweichongjia 三维重建
sanweichuangko 三维窗口
sanweisaomiaoy 三维扫描仪
sanweishubia 三维鼠标
sanweishuzihuay 三维数字化仪
sanweiyanjin 三维眼镜
sanxiangwosho 三向握手
sanyuanz 三元组
sanzhongbaozhuan 三重包装
sanzhongsuanf 三重算法
sanzushiwanglu 三足式网络
sanzuwanglu 三足网络
saochengqumia 扫成曲面
saomia 扫描
saomiaoduobianxin 扫描多边形
saomiaomosh 扫描模式
saomiaopingmia 扫描平面
saomiaoq 扫瞄器
saomiaoqumia 扫描曲面
saomiaoshej 扫描设计
saomiaoshuch 扫描输出
saomiaoshur 扫描输入
saomiaot 扫描体
saomiaoxiansuanf 扫描线算法
saomiaoxuanzeq 扫描选择器
saomiaoy 扫描仪
saomiaozhuanhua 扫描转换
saosh 扫射
sebaohed 色饱和度
sechund 色纯度
seda 色带
sedia 色调
sediaofenl 色调分离
sed 色度
sedut 色度图
seduxu 色度学
seduzuobia 色度坐标
sefe 色粉
sefenh 色粉盒
sej 色集 色矩
sejia 色键
sekongjia 色空间
semoxin 色模型
sepipe 色匹配
sepipeihansh 色匹配函数
sepinghen 色平衡
seshend 色深度
seshiyingxin 色适应性
sewe 色温
seyingsh 色映射
sezhangd 色彰度
senlinxingjiego 森林型结构
shad 杀毒
shaduyinqin 杀毒引擎
shasho 杀手
shashouzish 杀手自杀
shasijinchen 杀死进程
shaif 筛法
shaixua 筛选
shaixuanzhut 筛选主体
shanch 扇出 删除
shanchuhan 删除行
shanchuli 删除列
shanchumokua 扇出模块
shanchumul 删除目录
shanchutucen 删除图层
shanchuxianzh 扇出限制
shanchuxiangm 删除项目
shanchuyichan 删除异常
shandongdaxu 山东大学
shandongdaxuechubansh 山东大学出版社
shandongdaxueruanjianxueyua 山东大学软件学院
shandua 扇段
shangeshujujiego 栅格数据结构
shanq 扇区
shanqucif 扇区伺服
shanquduizhu 扇区对准
shanr 扇入
shanshu 闪烁
shansucunchuq 闪速存储器
shangbianm 熵编码
shangbia 上标
shangbiaoyueji 上标越界
shangbozhuangta 上播状态
shangdeduoxiey 上的多协议
shangdewangjixiey 上的网际协议
shanghaijiaotongdaxu 上海交通大学
shanghaijiaotongdaxuechubansh 上海交通大学出版社
shanghaijiaotongdaxueruanjianxueyua 上海交通大学软件学院
shanghangshujuli 上行数据流
shangj 上局
shangqueji 上确界
shangshengshijia 上升时间
shangshengya 上升沿
shangtu 上推
shangtuiduili 上推队列
shangtuipaix 上推排序
shangwangxingweijiankongguanlixiton 上网行为监控管理系统
shangweic 上位词
shangwufangwentigongzh 商务访问提供者
shangwuyintewangjiaohuanzhongxi 商务因特网交换中心
shangwuyongh 商务用户
shangxiaweiguanx 上下位关系
shangxiawe 上下文
shangxiawenfenx 上下文分析
shangxiawenneiguanjianz 上下文内关键字
shangxiawenqiehua 上下文切换
shangxiawenwaiguanjianz 上下文外关键字
shangxiawenwuguanwenf 上下文无关文法
shangxiawenwuguanyuf 上下文无关语法
shangxiawenwuguanyuya 上下文无关语言
shangxiawenyouguanwenf 上下文有关文法
shangxiawenyouguanyuya 上下文有关语言
shangxiantongzh 上线通知
shangxiantongzhijish 上线通知技术
shangxinglianl 上行链路
shangyemaoy 商业贸易
shangyeruanjia 商业软件
shangyeshujujiaohua 商业数据交换
shangyongqiy 商用企业
shangyunxingdecaozuoxiton 上运行的操作系统
shangza 上载
shebeicunchuq 设备存储器
shebeigongnen 设备功能
shebeiguanl 设备管理
shebeimiaosh 设备描述
shebeimiaoshuyuya 设备描述语言
shebeimin 设备名
shebeiqudongchengx 设备驱动程序
shebeishibiejicunq 设备识别寄存器
shebeizhipa 设备指派
shebeizuobia 设备坐标
shebeizuobiaox 设备坐标系
shech 舍出
shedin 设定
shedingdiankongzh 设定点控制
shehuigongchen 社会工程
shejibianjichengx 设计编辑程序
shejibianjiq 设计编辑器
shejicelu 设计策略
shejichacu 设计差错
shejiduoyangxin 设计多样性
shejifangf 设计方法
shejifangfaxu 设计方法学
shejifenx 设计分析
shejifenxichengx 设计分析程序
shejifenxiq 设计分析器
shejiguihu 设计规划
shejiguiyu 设计规约
shejijiedua 设计阶段
shejik 设计库
shejiouheluoj 射极耦合逻辑
shejipingshe 设计评审
shejishench 设计审查
shejixuqi 设计需求
shejiyanzhen 设计验证
shejiyuya 设计语言
shejiyuesh 设计约束
shejizidonghu 设计自动化
shejizouch 设计走查
shemifancho 涉密范畴
sher 舍入
sheruwuch 舍入误差
shesh 设施
sheshifenpe 设施分配
sheshiguanl 设施管理
sheshiqingqi 设施请求
sheshizhut 设施主体
shexianfangsh 设陷方式
shexianggua 摄像管
shexiangj 摄像机
shexiangjibiaodin 摄像机标定
shexingxingzhubianha 蛇形行主编号
sheyo 蛇油
shezh 设置
shezhixian 设置项
shencengg 深层格
shencengjianch 深层检查
shench 审查
shenduansh 深度暗示
shenduhuancu 深度缓存
shendujisua 深度计算
shendut 深度图
shenduyouxia 深度优先
shenduyouxianfenx 深度优先分析
shenduyouxiansousu 深度优先搜索
shenfe 身份
shenfenbiaosh 身份标识
shenfenhunlua 身份混乱
shenfenjianbi 身份鉴别
shenfenqieq 身份窃取
shenfenyanzhen 身份验证
shenfenzhen 身份证
shengaojiyuya 甚高级语言
shenj 审记 审计
shenjicelu 审记策略
shenjigenzon 审计跟踪
shenjiweij 审计尾迹
shenjizhuizon 审计追踪
shenjingjisua 神经计算
shenjingjisuanj 神经计算机
shenjingmohuzhut 神经模糊主体
shenjingwanglu 神经网络
shenjingwangluomoxin 神经网络模型
shenjingyua 神经元
shenjingyuanfangzhe 神经元仿真
shenjingyuanhansh 神经元函数
shenjingyuanmoxin 神经元模型
shenjingyuanwanglu 神经元网络
shenjingzhuanjiaxiton 神经专家系统
shenkaobe 深拷贝
shenqinglingpaizhe 申请令牌帧
shenqingquanbiaozhe 申请权标帧
shenqingzha 申请栈
shenrucesh 渗入测试
shenshuxingyuya 申述性语言
shento 渗透
shentoucesh 渗透测试
shengbowe 声波纹
shengchanxianfangf 生产线方法
shengchengsh 生成式 生成树
shengchengshuwent 生成树问题
shengchengshuxieyicaozu 生成树协议操作
shengchengtupia 生成图片
shengchengyuyanxu 生成语言学
shengcunshijia 生存时间
shengcunzhouq 生存周期
shengcunzhouqimoxin 生存周期模型
shengdia 声调
shenghuofangshicehuangy 生活方式测谎仪
shengk 声卡
shengmin 声明
shengmingzhouq 生命周期
shengpincunchuq 声频存储器
shengrigongj 生日攻击
shengtuhuiy 声图会议
shengtu 生推
shengwucedin 生物测定
shengwuceliangxu 生物测量学
shengwuceliangxueyanzhen 生物测量学验证
shengwujisuanj 生物计算机
shengwushibi 生物识别
shengwutezhengshibiejish 生物特征识别技术
shengxuemoxin 声学模型
shengyinhechen 声音合成
shengyinjiluq 声音记录器
shengyinjiansuoxingyew 声音检索型业务
shengyinshibi 声音识别
shengyinshuchushebe 声音输出设备
shengyinshurushebe 声音输入设备
shibaixinxitongzhifasongzh 失败信息通知发送者
shibianbuerhansh 时变布尔函数
shibiancansh 时变参数
shibi 识别
shibiexin 识别型
shiboq 示波器
shica 实参 时槽
shicankaodia 视参考点
shicaojiang 时槽间隔
shichatid 视差梯度
shichuangcaozuoxiton 视窗操作系统
shicousousu 试凑搜索
shicunzhuangta 实存状态
shidayi 式打印
shidangfangh 适当防护
shidangzidonghu 适当自动化
shidizh 实地址
shidia 视点
shidufangw 适度防务
shifazh 始发者
shifan 释放
shifangbaoh 释放保护
shifangyizhixingmoxin 释放一致性模型
shifangziyua 释放资源
shifenduolufuyon 时分多路复用
shifenfuyon 时分复用
shifenq 实分区
shigubianqia 事故变迁
shiguchulijihu 事故处理计划
shiguxiangyingchengx 事故响应程序
shijicunchuyebia 实际存储页表
shijiyesh 实际页数
shijianbaoga 事件报告
shijianbianqia 时间变迁
shijianbia 事件表
shijianbiaoj 时间标记
shijianchangsh 时间常数
shijianchongdi 时间重叠
shijianchul 事件处理
shijianchu 时间戳
shijiandingyiyuya 事件定义语言
shijiandongzuoyanji 时间动作研究
shijiandulixin 事件独立性
shijianduanxianzh 时间段限制
shijianduili 事件队列
shijianfangsh 事件方式
shijianfenpia 时间分片
shijianfuzad 时间复杂度
shijianfuzaxin 时间复杂性
shijianguolvq 事件过滤器
shijianjiancechengx 事件检测程序
shijianjianceq 事件检测器
shijianjubuxin 时间局部性
shijiankongzhikua 事件控制块
shijianliangz 时间量子
shijianmiaosh 事件描述
shijianpeiteliwan 时间佩特里网
shijianpia 时间片
shijianpianhuhua 时间片互换
shijianpianlunzhua 时间片轮转
shijianpux 时间谱系
shijianqudon 事件驱动
shijianqudongchengx 事件驱动程序
shijianqudongrenwudiaod 事件驱动任务调度
shijianqudongyuya 事件驱动语言
shijianqudongzhixingchengx 事件驱动执行程序
shijiantanchaq 事件探查器
shijiantongbuwent 时间同步问题
shijianxiton 事件系统
shijianxianzh 时间限制
shijianxuliemoxin 时间序列模型
shijianxuex 实践学习
shijianyanch 时间延迟
shijianyilaixin 事件依赖性
shijianyoujietulingj 时间有界图灵机
shijianyua 事件源
shijianyuesh 时间约束
shijianzhada 时间炸弹
shijiaoxuex 示教学习
shijiezhichuan 世界之窗
shijiezhichuangliulanq 世界之窗浏览器
shijiezhish 世界知识
shijiezhizu 世界之最
shijiezuobia 世界坐标
shijiezuobiaox 世界坐标系
shijinzh 十进制
shijinzhishuz 十进制数字
shiju 视觉
shijuemoxin 视觉模型
shikongquanhen 时空权衡
shikongt 时空图
shiko 视口
shikuan 视框
shilifangf 实例方法
shilihu 实例化
shilimin 实例名
shilixuex 实例学习
shiliy 实例域
shiliangmengba 矢量蒙版
shiliesh 矢列式
shiliujinzh 十六进制
shiliujinzhishuz 十六进制数字
shimin 实名
shinen 使能
shipe 失配
shipeicen 适配层
shipeicengkongzhiq 适配层控制器
shipeiq 适配器
shipincunchuq 视频存储器
shipindianb 视频点播
shipinfengezhuanji 视频分割专家
shipinhuanchongq 视频缓冲区
shipinhuiy 视频会议
shipink 视频卡
shipinmosh 视频模式
shipinsuijicunchuq 视频随机存储器
shipintuxingshipeiq 视频图形适配器
shipintuxingzhenli 视频图形阵列
shipinxiaox 视频消息
shipingmia 视平面
shiq 视区
shiqushebe 拾取设备
shish 实时
shishibianqia 实施变迁
shishibiaozhu 事实标准
shishibingfacaozu 实时并发操作
shishicaozuoxiton 实时操作系统
shishichul 实时处理
shishiduomeit 实时多媒体
shishiguiz 实施规则
shishijisuanj 实时计算机
shishijiankon 实时监控
shishijiankongchengx 实时监控程序
shishikongzh 实时控制
shishik 事实库
shishipichul 实时批处理
shishipichulijiankongchengx 实时批处理监控程序
shishishipi 实时视频
shishishizhongfensh 实时时钟分时
shishishuch 实时输出
shishishujuk 实时数据库
shishishur 实时输入
shishixiton 实时系统
shishixitongzhixingchengx 实时系统执行程序
shishixianglian 实施向量
shishiyuesh 实时约束
shishizhixingchengx 实时执行程序
shishizhixinglichen 实时执行例程
shishizhixingxiton 实时执行系统
shishizhut 实时主体
shitaichaxunyuya 时态查询语言
shitaiguanxidaish 时态关系代数
shitaishujuk 时态数据库
shitanf 试探法
shit 视体 实体 视图
shitijianbi 实体鉴别
shitilianxit 实体联系图
shitimoxin 实体模型
shitiwanzhengxin 实体完整性
shitizaoxin 实体造型
shitingxinx 视听信息
shituzhuangta 视图状态
shiwuchul 事务处理
shiwuchulituntulian 事务处理吞吐量
shiwuchulixiton 事务处理系统
shiwudiaod 事务调度
shiwufenx 事务分析
shiwuguzhan 事务故障
shiwuqudon 事务驱动
shiwuqudongxiton 事务驱动系统
shiwushijia 事务时间
shiwuxiaoxichuand 事务消息传递
shix 时隙 失序
shixijiang 时隙间隔
shixia 视线 实线 失效
shixianjiedua 实现阶段
shixianxuqi 实现需求
shixian 视向 视像
shixiaob 失效比
shixiaocesh 失效测试
shixiaofenb 失效分布
shixiaohuif 失效恢复
shixiaojianc 失效检测
shixiaojiedia 失效节点
shixiaoleibi 失效类别
shixiaol 失效率
shixiaosh 失效数
shixiaoshuj 失效数据
shixiaoyuc 失效预测
shixukongzhiluoj 时序控制逻辑
shixuzongh 时序综合
shixunzhigaosuhuancu 实寻址高速缓存
shiya 时延
shiyandianluba 实验电路板
shiyanfenpe 时延分配
shiyanpianchadaxia 时延偏差大小
shiyanxuex 实验学习
shiyingcen 适应层
shiyingxingweih 适应性维护
shiyingxuex 适应学习
shiyingzib 适应子波
shiyongcanshukongzh 使用参数控制
shiyongcelu 使用策略
shiyongchengx 实用程序
